QSP1-random
10000,3,62386,193413
20000,2,132090,410423
30000,6,208640,654766
40000,9,287788,875451
50000,11,361866,1179414
60000,11,442916,1436521
70000,14,529042,1616303
80000,15,609720,1919284
90000,20,692716,2140878
100000,21,770596,2511440
110000,25,858408,2757835
120000,29,951876,3028163
130000,27,1023706,3316541
140000,28,1114516,3638283
150000,29,1197270,3871721
160000,32,1291990,4025038
170000,32,1378310,4399739
180000,31,1467072,4580193
190000,35,1554264,4868307
200000,36,1643978,5212758

QSRP-random
10000,3,62266,190320
20000,6,135567,375005
30000,8,210288,611313
40000,8,287941,826469
50000,11,368097,1026169
60000,14,450925,1255012
70000,16,531584,1496825
80000,20,608196,1776096
90000,22,689771,2084722
100000,23,785992,2273411
110000,26,865403,2470624
120000,26,942099,2941937
130000,30,1040510,2942706
140000,35,1127634,3224837
150000,40,1219127,3371397
160000,30,1308302,3608009
170000,33,1400445,3875253
180000,38,1479815,4172084
190000,34,1567986,4605095
200000,41,1651732,5001139

BuSo-random
10000,316,24853368,99990000
20000,1306,99643266,399980000
30000,3009,225295199,899970000
40000,5428,399136657,1599960000
50000,8606,624453365,2499950000
60000,12460,897793387,3599940000
70000,16967,1228178213,4899930000
80000,22552,1593860172,6399920000

QSP1-almost sorted
10000,147,1984,50004999
20000,549,3954,200009999
30000,1316,5932,450014999
40000,2317,7928,800019999
50000,3464,9882,1250024999

QSRP-almost sorted
10000,3,6296,171640
20000,6,12640,365600
30000,9,18851,573387
40000,8,25175,835260
50000,7,31506,1018491
60000,8,37767,1296396
70000,7,43991,1524526
80000,10,50474,1736409
90000,12,56809,1927692
100000,13,63000,2218045
110000,15,69302,2421534
120000,15,75500,2656969
130000,20,81688,2947863
140000,17,88216,3246904
150000,20,94442,3381534
160000,22,100882,3639291
170000,25,107003,3865309
180000,26,113444,4181607
190000,27,119707,4537074
200000,28,126031,4680847

BuSo-almost sorted
10000,209,999,99990000
20000,765,1999,399980000
30000,1714,2999,899970000
40000,3131,3999,1599960000
50000,4858,4999,2499950000
60000,7350,5999,3599940000
70000,9862,6999,4899930000
80000,12210,7999,6399920000
90000,15459,8999,8099910000

QSP1-almost reversed
10000,141,11976,49670083
20000,509,23962,198909345
30000,1066,35938,447705352
40000,1587,47922,658440099
50000,2954,59894,1243602456
60000,4230,65020,1775974242
70000,6704,83898,2306445424

QSRP- almost reversed
10000,2,16092,178367
20000,4,32126,392823
30000,10,48218,600066
40000,9,64307,827572
50000,7,80534,1026916
60000,9,96510,1346703
70000,7,113613,1430108
80000,10,128943,1813648
90000,12,145480,2042822
100000,13,160971,2197026
110000,17,176857,2471569
120000,15,192957,2670471
130000,16,209157,2898982
140000,18,225050,3174138
150000,19,241232,3471322
160000,22,257291,3817327
170000,28,273405,3976460
180000,26,289546,4124475
190000,27,305809,4424279
200000,30,321874,4746882

BuSo-almost reversed
10000,287,49993892,99990000
20000,1088,199987809,399980000
30000,2458,449981716,899970000
40000,4368,799975619,1599960000
50000,6879,1249969470,2499950000
60000,9800,1799963360,3599940000
70000,13288,2449957297,4899930000
80000,17374,3199951183,6399920000
